Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.94518516,5-26-2017,11,0,10,23.58,17.08,66.88,16.72,29.01,29.8,3562.25,,
0.37414372,5-15-2016,7,0,10,9.14,3.56,68.12,14,29.34,30.13,1083.25,,
0.759953093,4-14-2016,15,0,10,20,0.12,25.24,14.08,29.35,30.14,2801,,
0.322771236,10-02-2016,13,0.91,10,21.01,13.94,60.6,6.36,29.27,30.06,3200.25,,
0.69688446,08-04-2016,13,0.41,10,30.18,22.98,57.88,2.67,29.17,29.96,3486.5,,
0.194811345,11-19-2016,16,0.74,10,2.64,-3.75,62.68,16,29.5,30.3,29,,
0.917081811,10-21-2016,13,0.84,10,13.38,4.43,52.84,10,29.35,30.14,1806,,
0.300722198,4-17-2016,8,0,10,20.47,8,44.96,5.76,29.6,30.4,2185.5,,
0.455885581,4-21-2016,6,1,3.64,15.06,14.97,97,5.93,29.07,29.86,33.04,,
0.685559436,7-25-2017,9,0,10,23.4,17.04,66.52,8.04,29.39,30.19,3210,,
0.306465996,3-17-2016,9,0,10,11.27,1.59,50.64,14,29.15,29.94,3004.25,,
0.528319929,10-15-2017,6,1,5.83,16.6,15.68,94.7,20.66,29.09,29.88,0,,
0.993048655,10-31-2016,9,0,10,11.69,8.95,82.88,10.48,29.34,30.14,1785.5,,
0.963893834,5-17-2017,17,0.5,2.92,26.74,15.44,47.4,31.52,28.91,29.69,1621,,
0.181653074,3-24-2016,16,1,10,7.36,5.74,85.19,20.84,28.83,29.61,286.48,,
0.181834567,10-26-2017,8,0,10,6.45,4.09,84.76,7.72,29.08,29.87,1240.75,,
0.071492074,05-06-2016,10,0,10,20.51,4.1,31.92,8.88,29.24,30.03,3942.25,,
0.24914696,03-06-2016,8,0,6.2,2.46,0.33,82.6,11.88,29.47,30.27,2532.5,,
0.345231263,9-14-2016,12,0.64,10,25.5,19.4,68.44,4.4,29.4,30.2,2959.25,,
0.873447185,3-30-2016,15,1,5.21,12.45,11.63,92.58,19.19,28.96,29.76,65.75,,
0.404820831,3-26-2016,11,0,10,11.7,4.25,62.04,9.32,29.34,30.13,4634.5,,
0.655952464,4-19-2017,8,0,10,21.37,17.01,21.89,14,8.53,30.07,0,,
0.011920048,6-26-2016,10,0.69,10,29.77,24.05,73.68,6.44,29.27,30.06,3063,,
0.059995992,05-01-2016,11,1,5.72,14.67,12.86,90.12,6.92,29.17,29.96,980.75,,
0.749794933,5-17-2016,13,1,10,14.3,8.67,64.56,6.52,29.39,30.19,1416.75,,
0.442225142,9-28-2017,14,0,10,22.54,9.93,43.84,8,29.35,30.14,4045.25,,
0.166988559,3-30-2017,11,1,6.95,15.55,13.89,92.15,12.18,28.79,29.57,939,,
0.651582226,08-08-2016,8,0.44,10,22.62,18.92,79.22,6.89,29.24,30.03,1762.75,,
0.466017522,2-19-2016,12,0.38,10,16.59,10.37,66.52,28.64,28.92,29.71,2660.5,,
0.178754404,6-29-2017,14,0.01,10,30.57,17.49,42.88,15.96,29.09,29.88,1406,,
0.428488172,2-29-2016,6,0,10,-0.61,-1.05,89.96,7.4,29.18,29.97,85.79,,
0.826577646,04-08-2016,11,1,10,5.62,2.83,77.35,22.88,29.07,29.87,1564.75,,
0.305396773,6-19-2016,11,0,10,29.09,19.4,55,5,29.42,30.25,3707.5,,
